mpg cylinders displacement horsepower weight acceleration model_year car_code car
26 4 96 69 2189 18 72 80 renault_12_(sw)
22 4 122 86 2395 16 72 81 ford_pinto_(sw)
28 4 97 92 2288 17 72 82 datsun_510_(sw)
23 4 120 97 2506 14.5 72 83 toyouta_corona_mark_ii_(sw)_
28 4 98 80 2164 15 72 84 dodge_colt_(sw)
27 4 97 88 2100 16.5 72 85 toyota_corolla_1600_(sw)
13 8 350 175 4100 13 73 86 buick_century_350
14 8 304 150 3672 11.5 73 87 amc_matador
13 8 350 145 3988 13 73 88 chevrolet_malibu
14 8 302 137 4042 14.5 73 89 ford_gran_torino
15 8 318 150 3777 12.5 73 90 dodge_coronet_custom
12 8 429 198 4952 11.5 73 91 mercury_marquis_brougham
13 8 400 150 4464 12 73 92 chevrolet_caprice_classic
13 8 351 158 4363 13 73 93 ford_ltd
14 8 318 150 4237 14.5 73 94 plymouth_fury_gran_sedan
13 8 440 215 4735 11 73 95 chrysler_new_yorker_brougham
12 8 455 225 4951 11 73 96 buick_electra_225_custom
13 8 360 175 3821 11 73 97 amc_ambassador_brougham
18 6 225 105 3121 16.5 73 98 plymouth_valiant
16 6 250 100 3278 18 73 99 chevrolet_nova_custom
18 6 232 100 2945 16 73 100 amc_hornet
18 6 250 88 3021 16.5 73 101 ford_maverick
23 6 198 95 2904 16 73 102 plymouth_duster
26 4 97 46 1950 21 73 103 volkswagen_super_beetle
11 8 400 150 4997 14 73 104 chevrolet_impala
12 8 400 167 4906 12.5 73 105 ford_country
13 8 360 170 4654 13 73 106 plymouth_custom_suburb
12 8 350 180 4499 12.5 73 107 oldsmobile_vista_cruiser
18 6 232 100 2789 15 73 108 amc_gremlin
20 4 97 88 2279 19 73 109 toyota_carina
21 4 140 72 2401 19.5 73 110 chevrolet_vega
22 4 108 94 2379 16.5 73 111 datsun_610
18 3 70 90 2124 13.5 73 112 maxda_rx3
19 4 122 85 2310 18.5 73 113 ford_pinto
21 6 155 107 2472 14 73 114 mercury_capri_v6
26 4 98 90 2265 15.5 73 115 fiat_124_sport_coupe
15 8 350 145 4082 13 73 116 chevrolet_monte_carlo_s
16 8 400 230 4278 9.5 73 117 pontiac_grand_prix
29 4 68 49 1867 19.5 73 118 fiat_128
24 4 116 75 2158 15.5 73 119 opel_manta
20 4 114 91 2582 14 73 120 audi_100ls
19 4 121 112 2868 15.5 73 121 volvo_144ea
15 8 318 150 3399 11 73 122 dodge_dart_custom
24 4 121 110 2660 14 73 123 saab_99le
20 6 156 122 2807 13.5 73 124 toyota_mark_ii
11 8 350 180 3664 11 73 125 oldsmobile_omega
20 6 198 95 3102 16.5 74 126 plymouth_duster
21 6 200 ? 2875 17 74 127 ford_maverick
19 6 232 100 2901 16 74 128 amc_hornet
15 6 250 100 3336 17 74 129 chevrolet_nova
31 4 79 67 1950 19 74 130 datsun_b210
26 4 122 80 2451 16.5 74 131 ford_pinto
32 4 71 65 1836 21 74 132 toyota_corolla_1200
25 4 140 75 2542 17 74 133 chevrolet_vega
16 6 250 100 3781 17 74 134 chevrolet_chevelle_malibu_classic
16 6 258 110 3632 18 74 135 amc_matador
18 6 225 105 3613 16.5 74 136 plymouth_satellite_sebring
16 8 302 140 4141 14 74 137 ford_gran_torino
13 8 350 150 4699 14.5 74 138 buick_century_luxus_(sw)
14 8 318 150 4457 13.5 74 139 dodge_coronet_custom_(sw)
14 8 302 140 4638 16 74 140 ford_gran_torino_(sw)
14 8 304 150 4257 15.5 74 141 amc_matador_(sw)
29 4 98 83 2219 16.5 74 142 audi_fox
26 4 79 67 1963 15.5 74 143 volkswagen_dasher
26 4 97 78 2300 14.5 74 144 opel_manta
31 4 76 52 1649 16.5 74 145 toyota_corona
32 4 83 61 2003 19 74 146 datsun_710
28 4 90 75 2125 14.5 74 147 dodge_colt
24 4 90 75 2108 15.5 74 148 fiat_128
26 4 116 75 2246 14 74 149 fiat_124_tc
24 4 120 97 2489 15 74 150 honda_civic
26 4 108 93 2391 15.5 74 151 subaru
31 4 79 67 2000 16 74 152 fiat_x1.9
19 6 225 95 3264 16 75 153 plymouth_valiant_custom
18 6 250 105 3459 16 75 154 chevrolet_nova
15 6 250 72 3432 21 75 155 mercury_monarch
15 6 250 72 3158 19.5 75 156 ford_maverick
16 8 400 170 4668 11.5 75 157 pontiac_catalina
15 8 350 145 4440 14 75 158 chevrolet_bel_air
16 8 318 150 4498 14.5 75 159 plymouth_grand_fury
14 8 351 148 4657 13.5 75 160 ford_ltd
17 6 231 110 3907 21 75 161 buick_century
16 6 250 105 3897 18.5 75 162 chevroelt_chevelle_malibu
15 6 258 110 3730 19 75 163 amc_matador
18 6 225 95 3785 19 75 164 plymouth_fury
21 6 231 110 3039 15 75 165 buick_skyhawk
20 8 262 110 3221 13.5 75 166 chevrolet_monza_2+2
13 8 302 129 3169 12 75 167 ford_mustang_ii
29 4 97 75 2171 16 75 168 toyota_corolla
23 4 140 83 2639 17 75 169 ford_pinto
20 6 232 100 2914 16 75 170 amc_gremlin
23 4 140 78 2592 18.5 75 171 pontiac_astro
24 4 134 96 2702 13.5 75 172 toyota_corona
25 4 90 71 2223 16.5 75 173 volkswagen_dasher
24 4 119 97 2545 17 75 174 datsun_710
18 6 171 97 2984 14.5 75 175 ford_pinto
29 4 90 70 1937 14 75 176 volkswagen_rabbit
19 6 232 90 3211 17 75 177 amc_pacer
23 4 115 95 2694 15 75 178 audi_100ls
23 4 120 88 2957 17 75 179 peugeot_504
22 4 121 98 2945 14.5 75 180 volvo_244dl
25 4 121 115 2671 13.5 75 181 saab_99le
33 4 91 53 1795 17.5 75 182 honda_civic_cvcc
28 4 107 86 2464 15.5 76 183 fiat_131
25 4 116 81 2220 16.9 76 184 opel_1900
25 4 140 92 2572 14.9 76 185 capri_ii
26 4 98 79 2255 17.7 76 186 dodge_colt
27 4 101 83 2202 15.3 76 187 renault_12tl
17.5 8 305 140 4215 13 76 188 chevrolet_chevelle_malibu_classic
16 8 318 150 4190 13 76 189 dodge_coronet_brougham
15.5 8 304 120 3962 13.9 76 190 amc_matador
14.5 8 351 152 4215 12.8 76 191 ford_gran_torino
22 6 225 100 3233 15.4 76 192 plymouth_valiant
22 6 250 105 3353 14.5 76 193 chevrolet_nova
24 6 200 81 3012 17.6 76 194 ford_maverick
22.5 6 232 90 3085 17.6 76 195 amc_hornet
29 4 85 52 2035 22.2 76 196 chevrolet_chevette
24.5 4 98 60 2164 22.1 76 197 chevrolet_woody
29 4 90 70 1937 14.2 76 198 vw_rabbit
33 4 91 53 1795 17.4 76 199 honda_civic
20 6 225 100 3651 17.7 76 200 dodge_aspen_se
18 6 250 78 3574 21 76 201 ford_granada_ghia
18.5 6 250 110 3645 16.2 76 202 pontiac_ventura_sj
17.5 6 258 95 3193 17.8 76 203 amc_pacer_d/l
29.5 4 97 71 1825 12.2 76 204 volkswagen_rabbit
32 4 85 70 1990 17 76 205 datsun_b-210
28 4 97 75 2155 16.4 76 206 toyota_corolla
26.5 4 140 72 2565 13.6 76 207 ford_pinto
20 4 130 102 3150 15.7 76 208 volvo_245
13 8 318 150 3940 13.2 76 209 plymouth_volare_premier_v8
19 4 120 88 3270 21.9 76 210 peugeot_504
19 6 156 108 2930 15.5 76 211 toyota_mark_ii
16.5 6 168 120 3820 16.7 76 212 mercedes-benz_280s
16.5 8 350 180 4380 12.1 76 213 cadillac_seville
13 8 350 145 4055 12 76 214 chevy_c10
13 8 302 130 3870 15 76 215 ford_f108
13 8 318 150 3755 14 76 216 dodge_d100
31.5 4 98 68 2045 18.5 77 217 honda_accord_cvcc
30 4 111 80 2155 14.8 77 218 buick_opel_isuzu_deluxe
36 4 79 58 1825 18.6 77 219 renault_5_gtl
25.5 4 122 96 2300 15.5 77 220 plymouth_arrow_gs
33.5 4 85 70 1945 16.8 77 221 datsun_f-10_hatchback
17.5 8 305 145 3880 12.5 77 222 chevrolet_caprice_classic
17 8 260 110 4060 19 77 223 oldsmobile_cutlass_supreme
15.5 8 318 145 4140 13.7 77 224 dodge_monaco_brougham
15 8 302 130 4295 14.9 77 225 mercury_cougar_brougham
17.5 6 250 110 3520 16.4 77 226 chevrolet_concours
20.5 6 231 105 3425 16.9 77 227 buick_skylark
19 6 225 100 3630 17.7 77 228 plymouth_volare_custom
18.5 6 250 98 3525 19 77 229 ford_granada
16 8 400 180 4220 11.1 77 230 pontiac_grand_prix_lj
15.5 8 350 170 4165 11.4 77 231 chevrolet_monte_carlo_landau
15.5 8 400 190 4325 12.2 77 232 chrysler_cordoba
16 8 351 149 4335 14.5 77 233 ford_thunderbird
29 4 97 78 1940 14.5 77 234 volkswagen_rabbit_custom
24.5 4 151 88 2740 16 77 235 pontiac_sunbird_coupe
26 4 97 75 2265 18.2 77 236 toyota_corolla_liftback
25.5 4 140 89 2755 15.8 77 237 ford_mustang_ii_2+2
30.5 4 98 63 2051 17 77 238 chevrolet_chevette
33.5 4 98 83 2075 15.9 77 239 dodge_colt_m/m
30 4 97 67 1985 16.4 77 240 subaru_dl
30.5 4 97 78 2190 14.1 77 241 volkswagen_dasher
22 6 146 97 2815 14.5 77 242 datsun_810
21.5 4 121 110 2600 12.8 77 243 bmw_320i
21.5 3 80 110 2720 13.5 77 244 mazda_rx-4
43.1 4 90 48 1985 21.5 78 245 volkswagen_rabbit_custom_diesel
36.1 4 98 66 1800 14.4 78 246 ford_fiesta
32.8 4 78 52 1985 19.4 78 247 mazda_glc_deluxe
39.4 4 85 70 2070 18.6 78 248 datsun_b210_gx
36.1 4 91 60 1800 16.4 78 249 honda_civic_cvcc
19.9 8 260 110 3365 15.5 78 250 oldsmobile_cutlass_salon_brougham
19.4 8 318 140 3735 13.2 78 251 dodge_diplomat
20.2 8 302 139 3570 12.8 78 252 mercury_monarch_ghia
19.2 6 231 105 3535 19.2 78 253 pontiac_phoenix_lj
20.5 6 200 95 3155 18.2 78 254 chevrolet_malibu
20.2 6 200 85 2965 15.8 78 255 ford_fairmont_(auto)
25.1 4 140 88 2720 15.4 78 256 ford_fairmont_(man)
20.5 6 225 100 3430 17.2 78 257 plymouth_volare
19.4 6 232 90 3210 17.2 78 258 amc_concord
20.6 6 231 105 3380 15.8 78 259 buick_century_special
20.8 6 200 85 3070 16.7 78 260 mercury_zephyr
18.6 6 225 110 3620 18.7 78 261 dodge_aspen
18.1 6 258 120 3410 15.1 78 262 amc_concord_d/l
19.2 8 305 145 3425 13.2 78 263 chevrolet_monte_carlo_landau
17.7 6 231 165 3445 13.4 78 264 buick_regal_sport_coupe_(turbo)_
18.1 8 302 139 3205 11.2 78 265 ford_futura
17.5 8 318 140 4080 13.7 78 266 dodge_magnum_xe
30 4 98 68 2155 16.5 78 267 chevrolet_chevette
27.5 4 134 95 2560 14.2 78 268 toyota_corona
27.2 4 119 97 2300 14.7 78 269 datsun_510
30.9 4 105 75 2230 14.5 78 270 dodge_omni
21.1 4 134 95 2515 14.8 78 271 toyota_celica_gt_liftback
23.2 4 156 105 2745 16.7 78 272 plymouth_sapporo
23.8 4 151 85 2855 17.6 78 273 oldsmobile_starfire_sx
23.9 4 119 97 2405 14.9 78 274 datsun_200-sx
20.3 5 131 103 2830 15.9 78 275 audi_5000
17 6 163 125 3140 13.6 78 276 volvo_264gl
21.6 4 121 115 2795 15.7 78 277 saab_99gle
16.2 6 163 133 3410 15.8 78 278 peugeot_604sl
31.5 4 89 71 1990 14.9 78 279 volkswagen_scirocco
29.5 4 98 68 2135 16.6 78 280 honda_accord_lx
21.5 6 231 115 3245 15.4 79 281 pontiac_lemans_v6
19.8 6 200 85 2990 18.2 79 282 mercury_zephyr_6
22.3 4 140 88 2890 17.3 79 283 ford_fairmont_4
20.2 6 232 90 3265 18.2 79 284 amc_concord_dl_6
20.6 6 225 110 3360 16.6 79 285 dodge_aspen_6
17 8 305 130 3840 15.4 79 286 chevrolet_caprice_classic
17.6 8 302 129 3725 13.4 79 287 ford_ltd_landau
16.5 8 351 138 3955 13.2 79 288 mercury_grand_marquis
18.2 8 318 135 3830 15.2 79 289 dodge_st._regis
16.9 8 350 155 4360 14.9 79 290 buick_estate_wagon_(sw)
15.5 8 351 142 4054 14.3 79 291 ford_country_squire_(sw)
19.2 8 267 125 3605 15 79 292 chevrolet_malibu_classic_(sw)
18.5 8 360 150 3940 13 79 293 chrysler_lebaron_town_@_country_(sw)
31.9 4 89 71 1925 14 79 294 vw_rabbit_custom
34.1 4 86 65 1975 15.2 79 295 maxda_glc_deluxe
35.7 4 98 80 1915 14.4 79 296 dodge_colt_hatchback_custom
27.4 4 121 80 2670 15 79 297 amc_spirit_dl
25.4 5 183 77 3530 20.1 79 298 mercedes_benz_300d
23 8 350 125 3900 17.4 79 299 cadillac_eldorado
27.2 4 141 71 3190 24.8 79 300 peugeot_504
23.9 8 260 90 3420 22.2 79 301 oldsmobile_cutlass_salon_brougham
34.2 4 105 70 2200 13.2 79 302 plymouth_horizon
34.5 4 105 70 2150 14.9 79 303 plymouth_horizon_tc3
31.8 4 85 65 2020 19.2 79 304 datsun_210
37.3 4 91 69 2130 14.7 79 305 fiat_strada_custom
28.4 4 151 90 2670 16 79 306 buick_skylark_limited
28.8 6 173 115 2595 11.3 79 307 chevrolet_citation
26.8 6 173 115 2700 12.9 79 308 oldsmobile_omega_brougham
33.5 4 151 90 2556 13.2 79 309 pontiac_phoenix
41.5 4 98 76 2144 14.7 80 310 vw_rabbit
38.1 4 89 60 1968 18.8 80 311 toyota_corolla_tercel
32.1 4 98 70 2120 15.5 80 312 chevrolet_chevette
37.2 4 86 65 2019 16.4 80 313 datsun_310
28 4 151 90 2678 16.5 80 314 chevrolet_citation
26.4 4 140 88 2870 18.1 80 315 ford_fairmont
24.3 4 151 90 3003 20.1 80 316 amc_concord
19.1 6 225 90 3381 18.7 80 317 dodge_aspen
34.3 4 97 78 2188 15.8 80 318 audi_4000
29.8 4 134 90 2711 15.5 80 319 toyota_corona_liftback
31.3 4 120 75 2542 17.5 80 320 mazda_626
37 4 119 92 2434 15 80 321 datsun_510_hatchback
32.2 4 108 75 2265 15.2 80 322 toyota_corolla
46.6 4 86 65 2110 17.9 80 323 mazda_glc
27.9 4 156 105 2800 14.4 80 324 dodge_colt
40.8 4 85 65 2110 19.2 80 325 datsun_210
44.3 4 90 48 2085 21.7 80 326 vw_rabbit_c_(diesel)
43.4 4 90 48 2335 23.7 80 327 vw_dasher_(diesel)
36.4 5 121 67 2950 19.9 80 328 audi_5000s_(diesel)
30 4 146 67 3250 21.8 80 329 mercedes-benz_240d
44.6 4 91 67 1850 13.8 80 330 honda_civic_1500_gl
40.9 4 85 ? 1835 17.3 80 331 renault_lecar_deluxe
33.8 4 97 67 2145 18 80 332 subaru_dl_2
29.8 4 89 62 1845 15.3 80 333 vokswagen_rabbit
32.7 6 168 132 2910 11.4 80 334 datsun_280-zx
23.7 3 70 100 2420 12.5 80 335 mazda_rx-7_gs
35 4 122 88 2500 15.1 80 336 triumph_tr7_coupe
23.6 4 140 ? 2905 14.3 80 337 ford_mustang_cobra
32.4 4 107 72 2290 17 80 338 honda_accord
27.2 4 135 84 2490 15.7 81 339 plymouth_reliant
26.6 4 151 84 2635 16.4 81 340 buick_skylark
25.8 4 156 92 2620 14.4 81 341 dodge_aries_wagon_(sw)
23.5 6 173 110 2725 12.6 81 342 chevrolet_citation
30 4 135 84 2385 12.9 81 343 plymouth_reliant
39.1 4 79 58 1755 16.9 81 344 toyota_starlet
39 4 86 64 1875 16.4 81 345 plymouth_champ
35.1 4 81 60 1760 16.1 81 346 honda_civic_1300
32.3 4 97 67 2065 17.8 81 347 subaru
37 4 85 65 1975 19.4 81 348 datsun_210_mpg
37.7 4 89 62 2050 17.3 81 349 toyota_tercel
34.1 4 91 68 1985 16 81 350 mazda_glc_4
34.7 4 105 63 2215 14.9 81 351 plymouth_horizon_4
34.4 4 98 65 2045 16.2 81 352 ford_escort_4w
29.9 4 98 65 2380 20.7 81 353 ford_escort_2h
33 4 105 74 2190 14.2 81 354 volkswagen_jetta
34.5 4 100 ? 2320 15.8 81 355 renault_18i
33.7 4 107 75 2210 14.4 81 356 honda_prelude
32.4 4 108 75 2350 16.8 81 357 toyota_corolla
32.9 4 119 100 2615 14.8 81 358 datsun_200sx
31.6 4 120 74 2635 18.3 81 359 mazda_626
28.1 4 141 80 3230 20.4 81 360 peugeot_505s_turbo_diesel
30.7 6 145 76 3160 19.6 81 361 volvo_diesel
25.4 6 168 116 2900 12.6 81 362 toyota_cressida
24.2 6 146 120 2930 13.8 81 363 datsun_810_maxima
22.4 6 231 110 3415 15.8 81 364 buick_century
26.6 8 350 105 3725 19 81 365 oldsmobile_cutlass_ls
20.2 6 200 88 3060 17.1 81 366 ford_granada_gl
17.6 6 225 85 3465 16.6 81 367 chrysler_lebaron_salon
28 4 112 88 2605 19.6 82 368 chevrolet_cavalier
27 4 112 88 2640 18.6 82 369 chevrolet_cavalier_wagon
34 4 112 88 2395 18 82 370 chevrolet_cavalier_2-door
31 4 112 85 2575 16.2 82 371 pontiac_j2000_se_hatchback
29 4 135 84 2525 16 82 372 dodge_aries_se
27 4 151 90 2735 18 82 373 pontiac_phoenix
24 4 140 92 2865 16.4 82 374 ford_fairmont_futura
23 4 151 ? 3035 20.5 82 375 amc_concord_dl
36 4 105 74 1980 15.3 82 376 volkswagen_rabbit_l
37 4 91 68 2025 18.2 82 377 mazda_glc_custom_l
31 4 91 68 1970 17.6 82 378 mazda_glc_custom
38 4 105 63 2125 14.7 82 379 plymouth_horizon_miser
36 4 98 70 2125 17.3 82 380 mercury_lynx_l
36 4 120 88 2160 14.5 82 381 nissan_stanza_xe
36 4 107 75 2205 14.5 82 382 honda_accord
34 4 108 70 2245 16.9 82 383 toyota_corolla
38 4 91 67 1965 15 82 384 honda_civic
32 4 91 67 1965 15.7 82 385 honda_civic_(auto)
38 4 91 67 1995 16.2 82 386 datsun_310_gx
25 6 181 110 2945 16.4 82 387 buick_century_limited
38 6 262 85 3015 17 82 388 oldsmobile_cutlass_ciera_(diesel)
26 4 156 92 2585 14.5 82 389 chrysler_lebaron_medallion
22 6 232 112 2835 14.7 82 390 ford_granada_l
32 4 144 96 2665 13.9 82 391 toyota_celica_gt
36 4 135 84 2370 13 82 392 dodge_charger_2.2
27 4 151 90 2950 17.3 82 393 chevrolet_camaro
27 4 140 86 2790 15.6 82 394 ford_mustang_gl
44 4 97 52 2130 24.6 82 395 vw_pickup
32 4 135 84 2295 11.6 82 396 dodge_rampage
28 4 120 79 2625 18.6 82 397 ford_ranger
31 4 119 82 2720 19.4 82 398 chevy_s-10
